sgRNA_ID,Indel_Rate,Mean_Scaffold_RMSD,Max_Scaffold_RMSD,Ensemble_RMSD_Fluctuation,True_OffTarget_Matches,High_Risk_Sites_Count,Max_True_OffTarget_Score,Cumulative_OffTarget_Risk
sgRNA_53,61.14315712,21.53834471807083,37.74151780865591,9.449199828187652,100,26,0.4761904762380953,0.9999995800226948
sgRNA_12,78.71983702,34.42122860142577,36.82862616688159,2.3505093169673974,235,30,0.5086956522375,0.9999999999948131
sgRNA_1,90.15854518,16.09992523091952,22.52175776862926,8.271345521634561,258,40,0.7200000000000001,0.9999999999999925
sgRNA_26,75.40940845,20.534716493354768,36.35117374495015,8.324221316701722,228,44,0.5999999997959707,0.999999999999806
sgRNA_131,7.731481481,36.41424152020612,39.50724255683179,3.957065280732102,47,4,0.4044444444088889,0.9163743925915728
sgRNA_140,2.04848071,15.10751366589803,21.82259082359606,5.480979199205007,76,22,0.533203125,0.9999978475690268
sgRNA_149,-0.065503846,29.32670915397364,37.6977350974904,4.746704695376281,224,47,0.8927536227478261,1.0
sgRNA_3,83.12284718,20.516543514347404,35.72106042168572,9.930508599493852,414,65,1.0,1.0
sgRNA_50,64.32555781,35.60006485930494,38.748691687762026,2.0088282874764123,152,27,0.53441295538692,0.9999999953890972
sgRNA_38,72.2525497,29.924642911789828,34.8377487645169,4.69075224140877,358,41,0.5147474744674748,0.9999999999999764
sgRNA_133,7.600434311,32.22574238974965,41.05720366132192,5.491683017236882,266,22,0.56249999990625,0.9999999995194556
sgRNA_75,48.50441289,29.522667782285403,36.39485871686349,5.767411683116753,229,21,0.6136363635750001,0.9999999915707858
sgRNA_62,56.1039165,21.27671923744433,37.0879947642963,10.460880658148035,49,5,0.519957983002626,0.9919535623296696
sgRNA_49,64.74593023,25.21881827489285,39.55184573244266,9.919492714730014,74,21,0.57421875,0.9999927490874854
sgRNA_33,73.23562306,35.69586074192131,37.98954155256571,1.6177875566210789,371,63,0.7142857140000001,1.0
sgRNA_32,73.7757732,23.76657550228153,33.55236897902159,6.3208304707280405,46,6,0.3385416669921875,0.9918518021203347
sgRNA_20,76.57155979,19.755783098757053,24.37838792544673,3.507208226490288,34,4,0.3475355055121136,0.9816125584211476
sgRNA_92,38.55854169,35.93277155314853,37.69099676502047,1.60475281714824,29,1,0.8125,0.9775105726944616
sgRNA_17,77.54633796,16.82502517782955,26.27136865827589,5.609143731982541,195,22,0.4897959179183673,0.999999998018551
sgRNA_64,55.19753658,25.22862284505965,36.92610429960597,9.750860682043625,72,0,0.1980952381902041,0.9737568911769932
sgRNA_123,12.37210902,33.75325853977901,35.09749202312725,0.7574547139972521,65,2,0.2363636364901876,0.96905492528332
sgRNA_114,15.93816879,31.216373128691828,35.508278506521066,2.221951658527752,347,51,0.6525490201443137,1.0
sgRNA_132,7.670182167,35.31649972166291,38.85104455794493,3.2232869352922258,243,64,0.6844444443388035,1.0
sgRNA_14,78.453126,36.21856763598454,38.66277927767062,2.4705921459159312,152,33,0.6408963592495799,0.9999999993653912
sgRNA_89,39.68850853,19.80400766020785,28.459306671607823,4.573450604606866,473,80,0.8666666670000001,1.0
sgRNA_52,63.16688033,36.18517487044933,39.14610294857649,2.899273203971942,224,27,0.5223214286875,0.9999999999917746
sgRNA_61,56.71938363,34.9009938507379,41.67592040670798,5.731210581789032,153,21,0.7081939794548495,0.9999999781257471
sgRNA_144,0.611309221,27.15375708595023,34.23185267400819,6.449698707709383,58,9,0.7222222220000001,0.9999275185566848
sgRNA_91,39.62747773,22.644706220258666,33.37275605248194,12.070928230691417,220,55,0.5803571431250001,1.0
sgRNA_137,5.53731902,34.53213864994814,40.5043119445067,3.890517890038424,19,1,0.28125,0.5283594634633528
sgRNA_148,0.062201949,36.31632506260578,38.48482608189875,2.169081774241014,5179,386,0.928571429,1.0
sgRNA_109,19.01148083,20.821450851567484,35.68414160158045,7.876040782971428,46,6,0.396634615136218,0.9922991406454662
sgRNA_119,13.27080284,34.41912305132065,36.45363761400404,2.270413045532313,2534,29,0.5647058825999999,1.0
sgRNA_73,49.19960498,36.14500929654896,37.53067110640407,1.1455185877767575,101,23,0.4414715718706801,0.999999413315818
